date,title,user,views,recommends,unrecommends
2024-08-29 10:10,외인이 현대차2우b영끌하고 본주는 파는지 모르겠니?,"
				ju******
			",206,2,2
2024-08-29 10:09,ㅋㅋㅋㅋ ,"
				puon****
			",68,0,0
2024-08-29 10:08,2우b 6%급등  본주 -0.7% 정상,"
				ju******
			",175,4,1
2024-08-29 10:06,기회ㆍ진입,"
				eleg****
			",82,2,1
2024-08-29 10:06,제발 마이너스 5프로 부탁드립니다,"
				rndv****
			",53,0,2
2024-08-29 10:05,기가차네,"
				bkok****
			",219,4,3
2024-08-29 10:04,재료 팩트체크 ㅡ재료가나왔으니 ㅡ,"
				ju******
			",129,4,2
2024-08-29 10:03,아 열받아,"
				kims****
			",101,2,0
2024-08-29 10:02,디지고 싶냐,"
				hyt0****
			",104,4,0
2024-08-29 9:56,2우b7%급등중 본주 보합간당간당,"
				ju******
			",115,3,3
2024-08-29 9:54,미친 주식,"
				kyj3****
			",108,4,0
2024-08-29 9:51,우선주,"
				to1t****
			",82,1,0
2024-08-29 9:51,이거 곧 마이너스 5프로 간다,"
				rndv****
			",84,1,3
2024-08-29 9:47,기아로 갑니다,"
				kimh****
			",66,0,1
2024-08-29 9:46,그랜져 언제나오냐 ,"
				hanm****
			",86,0,1
2024-08-29 9:44,개미들아 ,"
				ghdj****
			",49,0,0
2024-08-29 9:42,기아자동차는 잘 가네,"
				kwon****
			",41,0,0
2024-08-29 9:41,산산 ㅡㅡ서울로  안온대 부산경남양산육덕여사있는곳으로 돌진한갑따,"
				zuak****
			",35,0,1
2024-08-29 9:41,개쳐파네,"
				rafa****
			",50,0,1
2024-08-29 9:41,우선주 중심의 벨류업 ㅋㅋㅋ,"
				ju******
			",133,2,1
2024-08-29 9:32,오늘인가 타이밍?,"
				pjs7****
			",124,0,0
2024-08-29 9:29,신한 ,"
				jjs5****
			",71,1,0
2024-08-29 9:26,내가 어제,"
				ybyb****
			",142,2,4
2024-08-29 9:25,오늘 고가에 물린 놈들 축하하고,"
				rndv****
			",98,2,4
